Z_PK,Z_ENT,Z_OPT,ZCONTACTISSELF,ZINNETWORK,ZCONVERSATION,Z10_CONVERSATION,ZSERVERCONTACT,ZCONTACTLABEL,ZCONTACTNAME,ZCONTACTVALUE
1,8,1,1.0,,,,,,,thisisdfir@textnow.me
2,7,1,,,,,2.0,,,12999999999
3,6,4,,0.0,4.0,12.0,1.0,,TextNow,support@enflick.com
4,7,21,,,,,,mobile,,19195790479
5,7,24,,1.0,1.0,12.0,,TextNow,Josh Hickman,19193912507
6,8,2,,0.0,2.0,12.0,,,,sponsored_conversation@textnow.me
7,8,2,,0.0,3.0,12.0,,,,appinbox_conversation@textnow.me
8,6,10,,,,,,,,joshua.hickman1@me.com
9,7,2,,0.0,7.0,12.0,,,,19192943403
10,7,2,,0.0,5.0,12.0,,,,19192944910
11,7,2,,0.0,8.0,12.0,,,,19192941238
12,7,2,,0.0,6.0,12.0,,,,19192947180
